,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs
22813,9550,2017-04-01,WHV,Final,RowData2017.csv,1,"['PRIN#', 'DREX', 'DUQN', 'TEMP']",Temple/Drexel/Duquesne/Princeton Lightwe,2000.0,PRIN#,07:20.1,7,20.1,440.1
22814,9550,2017-04-01,WHV,Final,RowData2017.csv,2,"['PRIN#', 'DREX', 'DUQN', 'TEMP']",Temple/Drexel/Duquesne/Princeton Lightwe,2000.0,DREX,07:21.9,7,21.9,441.9
22815,9550,2017-04-01,WHV,Final,RowData2017.csv,3,"['PRIN#', 'DREX', 'DUQN', 'TEMP']",Temple/Drexel/Duquesne/Princeton Lightwe,2000.0,DUQN,07:29.4,7,29.4,449.4
22816,9550,2017-04-01,WHV,Final,RowData2017.csv,4,"['PRIN#', 'DREX', 'DUQN', 'TEMP']",Temple/Drexel/Duquesne/Princeton Lightwe,2000.0,TEMP,07:31.2,7,31.2,451.2
22817,9551,2017-04-01,WHV,Final,RowData2017.csv,1,"['PRIN', 'COLU', 'CLEM']","Columbia, Princeton, Clemson",2000.0,PRIN,07:19.2,7,19.2,439.2
22818,9551,2017-04-01,WHV,Final,RowData2017.csv,2,"['PRIN', 'COLU', 'CLEM']","Columbia, Princeton, Clemson",2000.0,COLU,07:58.6,7,58.6,478.6
22819,9551,2017-04-01,WHV,Final,RowData2017.csv,3,"['PRIN', 'COLU', 'CLEM']","Columbia, Princeton, Clemson",2000.0,CLEM,08:11.5,8,11.5,491.5
22820,9552,2017-04-01,WHV,Final,RowData2017.csv,1,"['MIST', 'INDI', 'KANS']",Michigan State vs. Indiana vs. Kansas,2000.0,MIST,06:28.8,6,28.8,388.8
22821,9552,2017-04-01,WHV,Final,RowData2017.csv,2,"['MIST', 'INDI', 'KANS']",Michigan State vs. Indiana vs. Kansas,2000.0,INDI,06:33.4,6,33.4,393.4
22822,9552,2017-04-01,WHV,Final,RowData2017.csv,3,"['MIST', 'INDI', 'KANS']",Michigan State vs. Indiana vs. Kansas,2000.0,KANS,06:41.8,6,41.8,401.8
22823,9553,2017-04-01,WHV,Final,RowData2017.csv,1,"['MICH', 'STAN']",Pac-12 Challenge Saturday,2000.0,MICH,06:19.0,6,19.0,379.0
22824,9553,2017-04-01,WHV,Final,RowData2017.csv,2,"['MICH', 'STAN']",Pac-12 Challenge Saturday,2000.0,STAN,06:22.6,6,22.6,382.6
22825,9554,2017-04-01,WHV,Final,RowData2017.csv,1,"['MERC', 'FRMA']","Mercyhurst, Franklin and Marshall",2000.0,MERC,07:21.8,7,21.8,441.8
22826,9554,2017-04-01,WHV,Final,RowData2017.csv,2,"['MERC', 'FRMA']","Mercyhurst, Franklin and Marshall",2000.0,FRMA,07:45.9,7,45.9,465.9
22827,9555,2017-04-01,WHV,Final,RowData2017.csv,1,"['LECL', 'PUGS']",Husky Open,2000.0,LECL,06:52.5,6,52.5,412.5
22828,9555,2017-04-01,WHV,Final,RowData2017.csv,2,"['LECL', 'PUGS']",Husky Open,2000.0,PUGS,07:01.7,7,1.7,421.7
22829,9556,2017-04-01,WHV,Heat,RowData2017.csv,1,"['TEX', 'WISC', 'UCLA', 'UVIC', 'UCSB']",San Diego Crew Classic,1.0,TEX,06:23.1,6,23.1,383.1
22830,9556,2017-04-01,WHV,Heat,RowData2017.csv,2,"['TEX', 'WISC', 'UCLA', 'UVIC', 'UCSB']",San Diego Crew Classic,1.0,WISC,06:27.7,6,27.7,387.7
22831,9556,2017-04-01,WHV,Heat,RowData2017.csv,3,"['TEX', 'WISC', 'UCLA', 'UVIC', 'UCSB']",San Diego Crew Classic,1.0,UCLA,06:38.2,6,38.2,398.2
