RaceID,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2/25/2017,MHV,2000,FLA,06:24.0,SFLA,06:41.0,CFLA,06:44.0,EMBR,06:46.5,,,,,,,,,Final,Duel In The Swamp
2,2/25/2017,MHV,2000,GATC,06:15.8,UGA,06:41.9,CLEM,06:50.3,,,,,,,,,,,Final,Clemson Crew Scrimmage
3,2/25/2017,WHV,1000,ALAB,03:25.8,EMIC,03:33.3,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
4,2/25/2017,WHV,1000,ALAB,03:29.6,EMIC,03:37.4,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
5,2/25/2017,WHV,1000,ALAB,03:30.8,EMIC,03:37.1,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
6,2/25/2017,WHV,1000,ALAB,03:39.0,EMIC,03:41.8,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
7,2/25/2017,WHV,2000,FLA,07:19.0,EMBR,07:57.0,FLST,08:12.0,,,,,,,,,,,Final,Duel In The Swamp
8,2/25/2017,WHV,2000,UGA,07:13.1,CLEC,07:17.1,GATC,07:24.8,,,,,,,,,,,Final,Clemson Crew Scrimmage
9,2/26/2017,MHV,1700,SDSU,05:14.0,CSLB,05:22.5,,,,,,,,,,,,,Final,Gruenberg Cup
10,2/28/2017,WHV,1000,WASH,03:43.1,SEAT,03:52.3,,,,,,,,,,,,,Scrim,University of Washington vs. Seattle Uni
11,3/2/2017,WHV,1000,WASH,03:55.3,SEAT,04:18.5,,,,,,,,,,,,,Scrim,University of Washington vs. Seattle Uni
12,3/4/2017,MHV,1000,TEX,02:43.5,LSU,02:56.3,TXAG,03:04.5,TXAM,03:08.4,,,,,,,,,Final,Heart of Texas (Saturday)
13,3/4/2017,MHV,1000,TEX,03:10.1,LSU,03:16.8,TXAG,03:24.1,OKLA,03:29.5,TCU,03:37.2,,,,,,,Heat,Heart of Texas (Saturday)
14,3/4/2017,MHV,1000,TXAM,03:24.0,BAYL,03:36.6,,,,,,,,,,,,,Heat,Heart of Texas (Saturday)
15,3/4/2017,MHV,2000,ORST,05:53.2,UCSB,05:58.6,,,,,,,,,,,,,Final,Lake Las Vegas Collegiate Invitational
16,3/4/2017,MHV,2000,UCSD,05:56.9,UCDV,05:59.0,UCLA,06:00.6,UCIR,06:07.4,UCSB,06:30.2,,,,,,,Final,Henry Nicholas III - UC Challenge Cup
17,3/4/2017,MLV,2000,CAL,06:16.7,CALM,06:20.8,,,,,,,,,,,,,Final,Cal Maritime vs. Cal Berkeley Lightweigh
18,3/4/2017,WHV,1000,TEXC,03:35.5,TXAM,03:36.4,,,,,,,,,,,,,Final,Heart of Texas (Saturday)
19,3/4/2017,WHV,1000,TXAM,03:43.7,TEXC,03:47.6,LSU,03:54.8,TCU,04:20.4,,,,,,,,,Heat,Heart of Texas (Saturday)
20,3/4/2017,WHV,1000,USC,03:26.6,WASH,03:33.0,,,,,,,,,,,,,Scrim,Southern California vs. Washington
21,3/4/2017,WHV,2000,CFLA,06:34.0,ROLL,07:17.8,JOWA,08:01.8,,,,,,,,,,,Final,Metro Cup Regatta
22,3/4/2017,WHV,2000,UCLA,06:18.5,UCSB,06:34.5,UCDV,06:43.6,,,,,,,,,,,Final,Henry Nicholas III - UC Challenge Cup
23,3/4/2017,WHV,2000,WASH,06:13.1,USC,06:17.1,,,,,,,,,,,,,Final,Lake Las Vegas Collegiate Invitational s
24,3/5/2017,MHV,2000,ORST,06:31.8,UCSB,06:33.0,SDSU,06:58.3,,,,,,,,,,,Final,Lake Las Vegas Collegiate Invitational
25,3/5/2017,WHV,2000,SCLA,07:30.4,MILL,07:59.0,,,,,,,,,,,,,Final,Santa Clara University vs. Mills College
26,3/7/2017,WHV,1000,VILN,00:00.0,STET,00:06.0,,,,,,,,,,,,,Final,"Stetson, Villanova"
27,3/7/2017,WHV,2000,DUQN,07:28.4,STET,07:42.4,,,,,,,,,,,,,Final,"Duquesne, Stetson"
28,3/11/2017,MHV,0,WWAS,06:30.6,PUGS,06:38.1,,,,,,,,,,,,,Final,PLU Invite
29,3/11/2017,MHV,2000,SCLA,05:58.4,UCDV,06:11.6,,,,,,,,,,,,,Final,Santa Clara University vs. UC Davis
30,3/11/2017,MHV,2000,SONO,06:52.1,CAL#,07:00.9,,,,,,,,,,,,,Final,Cal Lightweights vs. Sonoma State Heavyw
31,3/11/2017,MHV,2000,TEX,05:55.8,LSU,06:38.0,,,,,,,,,,,,,Final,Texas Crew vs. LSU
32,3/11/2017,MHV,2000,VAND,06:18.3,TULN,06:30.1,NWST,07:20.0,,,,,,,,,,,Final,"Tulane vs. Vanderbilt, Northwestern St,"
33,3/11/2017,MLV,2000,CAL,07:21.4,SONO,07:22.2,,,,,,,,,,,,,Final,Cal Lightweights vs. Sonoma State Heavyw
34,3/11/2017,WHV,0,PACL,07:22.5,SEAT,07:39.9,,,,,,,,,,,,,Final,PLU Invite
35,3/11/2017,WHV,0,PUGS,07:14.1,SEAT,07:23.3,,,,,,,,,,,,,Final,PLU Invite
36,3/11/2017,WHV,0,WWAS,07:03.9,PACL,07:24.2,,,,,,,,,,,,,Final,PLU Invite
37,3/11/2017,WHV,0,WWAS,07:11.1,PUGS,07:29.1,,,,,,,,,,,,,Final,PLU Invite
38,3/11/2017,WHV,1950,VILN,06:35.4,DUQN,06:38.5,ROLL,06:53.9,ASSP,06:59.2,,,,,,,,,Final,"Rollins Invitational: Rollins, Assumptio"
39,3/11/2017,WHV,2000,ALAB,04:00.0,BUCK,04:02.0,,,,,,,,,,,,,Final,Alabama and Bucknell
40,3/11/2017,WHV,2000,ALAB,06:00.0,BUCK,06:05.0,,,,,,,,,,,,,Final,Alabama and Bucknell
41,3/11/2017,WHV,2000,ALAB,06:00.0,BUCK,06:06.0,,,,,,,,,,,,,Final,Alabama and Bucknell
42,3/11/2017,WHV,2000,CAL#,08:08.0,SONO,08:31.2,,,,,,,,,,,,,Final,Cal Lightweights vs. Sonoma State Heavyw
43,3/11/2017,WHV,2000,MICH,06:24.3,LOUV,06:38.3,CLEM,06:43.2,KANS,06:47.0,,,,,,,,,Final,"Cardinal Invite: Tulsa vs. Tennessee, Mi"
