RaceId,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2013-02-23,MHV,0,USC, 6:48.0,SDSU, 7:05.0,CSLB, 7:24.0,,,,,,,,,,,Final,Gruenberg Cup
2,2013-02-23,MHJ,0,SDSU, 7:14.0,USC, 7:21.0,,,,,,,,,,,,,Final,Gruenberg Cup
3,2013-02-23,MHN,0,USC, 6:50.0,SDSU, 6:53.0,CSLB, 7:24.0,,,,,,,,,,,Final,Gruenberg Cup
4,2013-03-02,MHN,0,UCIR, 6:51.0,UCSB, 6:55.3,CSLB, 7:06.3,,,,,,,,,,,Final,Southern California Opening Day Regatta
5,2013-03-02,MHN,0,SDSU, 6:38.0,UCIR, 6:41.6,UCSD, 6:48.6,UCSB, 6:49.8,,,,,,,,,Final,Southern California Opening Day Regatta
6,2013-03-02,MHJ,0,UCSD, 6:16.8,UCIR, 6:20.1,UCSB, 6:26.1,SDSU, 6:49.3,,,,,,,,,Final,Southern California Opening Day Regatta
7,2013-03-02,WHV,0,UCSB, 6:57.1,UCSD, 7:01.3,UCIR, 7:23.0,,,,,,,,,,,Final,Southern California Opening Day Regatta
8,2013-03-02,MHV,0,UCSB, 6:04.2,USD, 6:08.5,CSLB, 6:48.5,CHAP, 6:52.8,,,,,,,,,Final,Southern California Opening Day Regatta
9,2013-03-02,MHV,0,UCIR, 6:05.4,UCSD, 6:06.3,SDSU, 6:47.2,,,,,,,,,,,Final,Southern California Opening Day Regatta
10,2013-03-02,WHJ,0,UCSD, 7:11.9,UCSB, 7:28.4,UCIR, 7:53.5,,,,,,,,,,,Final,Southern California Opening Day Regatta
11,2013-03-02,MHV,2000,TULN, 6:43.1,NWST, 7:10.3,,,,,,,,,,,,,Final,Tulane vs. Northwestern State
12,2013-03-02,WHV,2000,TULN, 7:54.7,NWST, 8:18.2,,,,,,,,,,,,,Final,Tulane vs. Northwestern State
13,2013-03-02,MHV,2000,UCLA, 6:34.4,LOMY, 6:53.3,,,,,,,,,,,,,Final,UCLA vs. LMU
14,2013-03-02,MHN,2000,UCLA, 6:47.0,LOMY, 7:07.8,,,,,,,,,,,,,Final,UCLA vs. LMU
15,2013-03-05,MHV,0,STAN, 5:52.7,SCLA, 6:09.0,SONO, 6:26.6,UCDV, 6:31.4,,,,,,,,,Final,Davis Invitational
16,2013-03-05,WHV,0,UCDV, 7:21.4,SONO, 7:48.4,SCLA, 7:49.0,MILL, 8:08.3,,,,,,,,,Final,Davis Invitational
17,2013-03-05,MHN,0,STAN, 6:10.6,SCLA, 6:50.6,UCDV, 7:00.2,,,,,,,,,,,Final,Davis Invitational
18,2013-03-08,WHV,2000,UVM, 8:58.0,MAWA, 9:47.0,OHUN,10:24.0,,,,,,,,,,,Final,Mary Washington/Ohio Univ/UVM
19,2013-03-09,MHV,0,USC, 6:44.5,AZST, 7:08.5,,,,,,,,,,,,,Final,Desert Sprints
20,2013-03-09,MHN,0,SDSU, 6:38.3,USC, 6:49.9,AZST, 6:54.3,,,,,,,,,,,Final,Desert Sprints
21,2013-03-09,WHV,2000,STJO, 6:55.3,DREX, 7:00.0,LASL, 7:05.5,DELA, 7:19.5,,,,,,,,,Final,St Joseph's vs. Drexel
22,2013-03-09,WHJ,2000,DREX, 7:01.4,STJO, 7:10.4,DELA, 7:15.0,LASL, 7:24.2,,,,,,,,,Final,St Joseph's vs. Drexel
23,2013-03-09,WHV,2000,UCLA, 6:23.8,LOMY, 6:45.0,,,,,,,,,,,,,Final,UCLA vs. Loyola Marymount University
24,2013-03-09,WHJ,2000,UCLA, 6:42.1,LOMY, 7:06.4,,,,,,,,,,,,,Final,UCLA vs. Loyola Marymount University
25,2013-03-09,WHV,2000,DUKE, 6:44.5,CLEM, 6:46.4,EMIC, 7:29.2,,,,,,,,,,,Final,Clemson/Duke/Eastern Michigan
26,2013-03-09,WHJ,2000,CLEM, 6:51.6,DUKE, 7:00.7,EMIC, 8:11.8,,,,,,,,,,,Final,Clemson/Duke/Eastern Michigan
27,2013-03-09,WHV,2000,NORT, 6:42.5,CFLA, 6:48.7,,,,,,,,,,,,,Final,UCF vs. Northeastern University
28,2013-03-09,WHJ,2000,NORT, 6:48.9,CFLA, 7:03.7,,,,,,,,,,,,,Final,UCF vs. Northeastern University
29,2013-03-09,WHV,2000,JAX, 7:49.9,FLTC, 7:58.8,,,,,,,,,,,,,Final,Keuper Cup
30,2013-03-09,WHV,2000,ORST, 6:42.4,UVIC, 6:46.7,,,,,,,,,,,,,Final,Oregon State v University of Victoria
31,2013-03-09,WHV,0,MINN, 7:27.4,KAST, 7:41.9,,,,,,,,,,,,,Final,OU Invitational (Saturday)
32,2013-03-09,WHJ,0,MINN, 7:24.0,KAST, 7:43.8,,,,,,,,,,,,,Final,OU Invitational (Saturday)
33,2013-03-09,WHV,0,COK, 7:33.3,KANS, 7:40.7,,,,,,,,,,,,,Final,OU Invitational (Saturday)
34,2013-03-09,WHJ,0,KANS, 7:39.0,COK, 8:04.0,,,,,,,,,,,,,Final,OU Invitational (Saturday)
35,2013-03-09,WHV,0,OKLA, 7:07.8,TULS, 7:11.4,,,,,,,,,,,,,Final,OU Invitational (Saturday)
36,2013-03-09,WHJ,0,OKLA, 7:17.3,TULS, 7:39.9,,,,,,,,,,,,,Final,OU Invitational (Saturday)
37,2013-03-09,WHV,0,KANS, 7:18.4,KAST, 7:21.3,,,,,,,,,,,,,Final,OU Invitational (Saturday)
38,2013-03-09,WHJ,0,KANS, 7:20.5,KAST, 7:38.5,,,,,,,,,,,,,Final,OU Invitational (Saturday)
39,2013-03-09,WHV,0,TULS, 7:06.5,COK, 7:11.4,,,,,,,,,,,,,Final,OU Invitational (Saturday)
40,2013-03-09,WHJ,0,TULS, 7:10.5,COK, 7:46.9,,,,,,,,,,,,,Final,OU Invitational (Saturday)
41,2013-03-09,WHV,0,MINN, 6:49.4,OKLA, 6:52.3,,,,,,,,,,,,,Final,OU Invitational (Saturday)
42,2013-03-09,WHJ,0,MINN, 6:56.8,OKLA, 7:01.0,,,,,,,,,,,,,Final,OU Invitational (Saturday)
43,2013-03-09,MHV,2000,PSU, 6:31.0,GATC, 6:34.0,,,,,,,,,,,,,Final,Penn State vs. Geogia Tech
44,2013-03-09,MHN,2000,GATC, 6:46.0,PSU, 7:52.0,,,,,,,,,,,,,Final,Penn State vs. Geogia Tech
45,2013-03-09,WHV,2000,PSU, 7:26.0,GATC, 7:31.0,,,,,,,,,,,,,Final,Penn State vs. Geogia Tech
46,2013-03-09,MHV,1950,ROLL, 5:57.5,FLA, 5:59.8,VILN, 6:18.5,,,,,,,,,,,Final,Spring Break Race
47,2013-03-09,MHN,1950,ROLL, 6:43.1,VILN, 7:00.4,,,,,,,,,,,,,Final,Spring Break Race
48,2013-03-09,WHV,1950,NOVS, 6:34.3,DUQN, 6:44.2,FLA, 6:47.4,VILN, 6:58.8,ROLL, 7:08.0,,,,,,,Final,Spring Break Race
49,2013-03-09,MHV,1400,UCLA, 4:17.1,UCSB, 4:18.8,,,,,,,,,,,,,Final,UCSB vs. UCLA
50,2013-03-09,MHJ,1400,UCLA, 4:28.3,UCSB, 4:29.3,,,,,,,,,,,,,Final,UCSB vs. UCLA
51,2013-03-09,MHN,1400,UCSB, 4:38.1,UCLA, 4:40.5,,,,,,,,,,,,,Final,UCSB vs. UCLA
52,2013-03-09,MHV,2000,ORST, 6:00.5,UVIC, 6:01.5,,,,,,,,,,,,,Final,Oregon State vs. University of Victoria
53,2013-03-09,MHJ,2000,ORST, 6:06.1,UVIC, 6:06.1,,,,,,,,,,,,,Final,Oregon State vs. University of Victoria
54,2013-03-09,MHN,2000,ORST, 6:16.3,UVIC, 6:24.8,,,,,,,,,,,,,Final,Oregon State vs. University of Victoria
55,2013-03-09,MHV,0,DREX, 6:03.4,LASL, 6:10.4,,,,,,,,,,,,,Final,St Joseph's vs. Drexel and LaSalle
56,2013-03-09,MHJ,0,DREX, 6:07.3,LASL, 6:29.5,,,,,,,,,,,,,Final,St Joseph's vs. Drexel and LaSalle
57,2013-03-09,MHV,2000,FLTC, 6:15.4,JAX, 6:42.2,,,,,,,,,,,,,Final,Keuper Cup
58,2013-03-09,MHN,2000,JAX, 6:49.2,FLTC, 6:52.7,,,,,,,,,,,,,Final,Keuper Cup
59,2013-03-10,WHV,0,MINN, 6:39.5,TULS, 6:50.5,,,,,,,,,,,,,Final,OU Invitational (Sunday)
60,2013-03-10,WHJ,0,MINN, 6:50.8,TULS, 7:09.3,,,,,,,,,,,,,Final,OU Invitational (Sunday)
61,2013-03-10,WHV,0,OKLA, 6:43.4,KANS, 7:17.4,,,,,,,,,,,,,Final,OU Invitational (Sunday)
62,2013-03-10,WHJ,0,OKLA, 7:00.6,KANS, 7:18.2,,,,,,,,,,,,,Final,OU Invitational (Sunday)
63,2013-03-10,WHV,0,KAST, 7:11.0,COK, 7:20.4,,,,,,,,,,,,,Final,OU Invitational (Sunday)
64,2013-03-10,WHJ,0,KAST, 7:15.3,COK, 7:35.2,,,,,,,,,,,,,Final,OU Invitational (Sunday)
65,2013-03-15,WHV,2000,LOMY, 7:21.8,GONZ, 7:31.0,,,,,,,,,,,,,Final,Loyola Marymount vs. Gonzaga
66,2013-03-15,WHJ,2000,GONZ, 7:32.8,LOMY, 7:33.3,,,,,,,,,,,,,Final,Loyola Marymount vs. Gonzaga
67,2013-03-15,WHV,2000,TEMP, 7:52.0,SIMM, 8:20.0,JAX, 8:25.0,CSTG, 8:26.0,,,,,,,,,Final,Stetson University - Race #2
68,2013-03-15,WHJ,2000,TEMP, 8:34.0,SIMM, 8:55.0,JAX, 9:14.0,,,,,,,,,,,Final,Stetson University - Race #2
69,2013-03-15,WHV,2000,TEMP, 8:04.0,SIMM, 8:20.0,JAX, 8:24.0,CSTG, 8:36.0,STET, 9:13.0,,,,,,,Final,Stetson University - Race #1
70,2013-03-15,WHJ,2000,TEMP, 8:44.0,SIMM, 8:55.0,JAX, 9:00.0,,,,,,,,,,,Final,Stetson University - Race #1
