RaceId,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2015-03-01,MHJ,,SCLA,06:32.1,UCDV,06:44.8,,,,,,,,,,,,,Final,Davis Invitational
2,2015-03-01,MHJ,2000,SDSU,06:54.0,USC,07:00.0,,,,,,,,,,,,,Final,Gruenberg Cup Regatta
3,2015-03-01,MHV,,SCLA,06:17.0,UCDV,06:23.3,SONO,06:33.7,,,,,,,,,,,Final,Davis Invitational
4,2015-03-01,MHV,2000,SDSU,06:26.7,USC,06:34.0,CSLB,06:59.8,,,,,,,,,,,Final,Gruenberg Cup Regatta
5,2015-03-01,MHV,2000,UCLA,05:57.6,LOMY,06:08.1,,,,,,,,,,,,,Final,UCLA vs. LMU
6,2015-03-01,MLV,2000,USC,07:07.2,SDSU,07:28.0,CSLB,07:52.1,,,,,,,,,,,Final,Gruenberg Cup Regatta
7,2015-03-01,WHJ,,UCDV,07:48.9,MILL,08:11.3,,,,,,,,,,,,,Final,Davis Invitational
8,2015-03-01,WHV,,SCLA,07:09.3,UCDV,07:12.4,MILL,07:39.7,,,,,,,,,,,Final,Davis Invitational
9,2015-03-07,MHJ,1950,ROLL,06:28.5,VILN,06:40.5,,,,,,,,,,,,,Final,Metro Cup Regatta
10,2015-03-07,MHV,,TEX,03:08.3,TXAM,03:15.1,LSU,03:19.3,TXAG,03:53.6,,,,,,,,,Final,Heart of Texas Regatta
11,2015-03-07,MHV,,TEX,02:58.5,LSU,03:26.0,BAYL,03:26.7,,,,,,,,,,,Heat,Heart of Texas Regatta
12,2015-03-07,MHV,,TXAM,03:20.2,TXAG,03:39.2,STED,03:51.3,,,,,,,,,,,Heat,Heart of Texas Regatta
13,2015-03-07,MHV,1950,VILN,05:59.0,ROLL,06:11.5,CFLA,06:27.7,,,,,,,,,,,Final,Metro Cup Regatta
14,2015-03-07,MHV,2000,CALM,06:46.5,CAL#,06:52.6,,,,,,,,,,,,,Final,Dual
15,2015-03-07,MHV,2000,TULN,06:27.7,VAND,06:28.7,NWST,07:33.7,,,,,,,,,,,Final,Tulane/Vanderbilt/Rice/Northwestern St
16,2015-03-07,WHJ,1950,CFLA,06:49.7,DUQN,07:04.0,VILN,07:26.8,ROLL,07:35.0,,,,,,,,,Final,Metro Cup Regatta
17,2015-03-07,WHV,,TXAM,03:53.1,COK,03:53.8,STED,03:56.8,TXAG,04:01.1,,,,,,,,,Final,Heart of Texas Regatta
18,2015-03-07,WHV,1950,CFLA,06:24.8,DUQN,06:36.9,VILN#,06:46.6,ROLL,07:06.1,,,,,,,,,Final,Metro Cup Regatta
19,2015-03-07,WHV,2000,TULN,07:26.7,VAND,07:27.7,NWST,08:09.9,,,,,,,,,,,Final,Tulane/Vanderbilt/Rice/Northwestern St
20,2015-03-08,MHJ,,UCLA,06:33.5,UCIR,06:41.5,USC,06:45.5,SDSU,06:48.3,,,,,,,,,Final,SoCal Opening Day Regatta
21,2015-03-08,MHJ,,UCSB,06:22.9,SDSU,06:40.9,OC,06:46.3,,,,,,,,,,,Final,SoCal Opening Day Regatta
22,2015-03-08,MHJ,2000,SCLA,06:34.6,SACS,07:10.5,,,,,,,,,,,,,Final,Santa Clara University vs. Sacramento State
23,2015-03-08,MHV,,SDSU,06:20.8,USC,06:27.0,LOMY,06:29.2,CSLB,06:43.7,,,,,,,,,Final,SoCal Opening Day Regatta
24,2015-03-08,MHV,,UCSB,06:12.8,OC,06:16.8,UCIR,06:22.1,UCLA,06:27.7,,,,,,,,,Final,SoCal Opening Day Regatta
25,2015-03-08,MHV,2000,SCLA,06:04.4,SACS,06:38.8,,,,,,,,,,,,,Final,Santa Clara University vs. Sacramento State
26,2015-03-08,WHJ,2000,LOMY,07:03.7,SDSU,07:12.4,,,,,,,,,,,,,Final,LMU vs SDSU
27,2015-03-08,WHV,,UCSB,07:15.1,OC,07:23.2,UCSD,07:23.5,CSLB,07:29.0,,,,,,,,,Final,SoCal Opening Day Regatta
28,2015-03-08,WHV,2000,SDSU,06:58.6,LOMY,06:59.6,,,,,,,,,,,,,Final,LMU vs SDSU
29,2015-03-13,MHJ,1950,ROLL,07:30.3,WASU,08:10.4,,,,,,,,,,,,,Final,TARS Regatta
30,2015-03-13,MHV,1950,ROLL,07:01.0,WASU,07:28.2,EMOR,07:41.2,,,,,,,,,,,Final,TARS Regatta
31,2015-03-13,WHJ,2000,UNC,07:09.5,GMAS,07:29.9,,,,,,,,,,,,,Final,North Carolina vs. George Mason
32,2015-03-13,WHV,1950,ROLL,08:28.5,EMOR,09:47.2,,,,,,,,,,,,,Final,TARS Regatta
33,2015-03-13,WHV,2000,UNC,07:05.6,GMAS,07:09.0,,,,,,,,,,,,,Final,North Carolina vs. George Mason
34,2015-03-14,MHJ,1950,ROLL,06:22.5,WASU,06:41.9,EMBR,06:51.8,,,,,,,,,,,Final,Spring Break Race
35,2015-03-14,MHJ,2000,DREX,05:29.0,VILN,06:00.4,LASL,06:10.9,,,,,,,,,,,Final,La Salle University vs. Drexel/Villanova
36,2015-03-14,MHJ,2000,OC,06:19.0,UCIR,06:22.0,SDSU,06:23.0,,,,,,,,,,,Final,Parker Cup
37,2015-03-14,MHJ,2000,UCSB,06:07.9,SCLA,06:13.5,UCLA,06:23.2,,,,,,,,,,,Final,UCSB vs. UCLA/Santa Clara
38,2015-03-14,MHV,1950,ROLL,06:05.4,FLA,06:15.2,WASU,06:19.0,EMBR#,06:33.6,,,,,,,,,Final,Spring Break Race
39,2015-03-14,MHV,2000,CAL#,06:22.2,CHCO,07:01.5,,,,,,,,,,,,,Final,Cal Lightweights vs. Chico State University
40,2015-03-14,MHV,2000,DREX,05:39.5,VILN,05:41.0,LASL,05:57.2,,,,,,,,,,,Final,La Salle University vs. Drexel/Villanova
41,2015-03-14,MHV,2000,LECL,06:34.9,ORGN,06:47.0,,,,,,,,,,,,,Final,Hagg Lake Invitational
