RaceId,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
0,2011-03-05,WHV,2000,UCLA,6:31.4,LOMY,7:04.0,,,,,,,,,,,,,Final,UCLA vs. Loyola Marymount University
1,2011-03-05,WHV,2000,CLEM,6:54.1,NORT,7:02.2,EMIC,7:59.2,,,,,,,,,,,Final,Clemson vs. Northeastern and Eastern Michigan
2,2011-03-05,WHJ,2000,CLEM,7:05.7,NORT,7:10.0,EMIC,8:16.9,,,,,,,,,,,Final,Clemson vs. Northeastern and Eastern Michigan
3,2011-03-05,MHN,0,GATC,6:45.1,VAND,7:02.1,CLEM,7:30.2,AUBN,8:13.7,,,,,,,,,Final,SERCS Regatta
4,2011-03-05,WHV,0,GATC,7:39.9,CLEC,7:52.3,VAND,7:57.9,UCHR,8:16.3,,,,,,,,,Final,SERCS Regatta
5,2011-03-05,MHV,0,GATC,6:36.1,CLEM,6:45.3,VAND,6:52.6,UGA,8:19.0,,,,,,,,,Final,SERCS Regatta
6,2011-03-05,MHV,0,AZST,5:00.0,SDSU,5:13.7,,,,,,,,,,,,,Final,Desert Sprints/Elk Head Regatta
7,2011-03-05,MHN,0,AZST,5:07.9,SDSU,6:50.7,,,,,,,,,,,,,Final,Desert Sprints/Elk Head Regatta
8,2011-03-05,WHV,0,ORST,6:22.3,UVIC,6:32.1,UBC,6:43.5,,,,,,,,,,,Final,Desert Sprints/Elk Head Regatta
9,2011-03-05,MHV,0,UVIC,5:39.6,ORST,5:44.5,UBC,5:48.2,,,,,,,,,,,Final,Desert Sprints/Elk Head Regatta
10,2011-03-05,MHV,2000,FLA,6:22.1,TAMP,6:28.7,EMBR,7:04.1,,,,,,,,,,,Final,Florida Crew Classic
11,2011-03-05,MHN,2000,FLA,7:14.0,EMBR,7:34.9,,,,,,,,,,,,,Final,Florida Crew Classic
12,2011-03-05,MHV,2000,TAMP,6:50.7,FLA,6:52.9,EMBR,7:10.8,,,,,,,,,,,Final,Florida Crew Classic
13,2011-03-05,MHN,1950,ROLL,7:04.6,VILN,7:30.6,DUQN,8:28.7,,,,,,,,,,,Final,Metro Cup Regatta
14,2011-03-05,MHV,1950,VILN,6:47.5,ROLL,6:54.1,CFLA,7:40.4,,,,,,,,,,,Final,Metro Cup Regatta
15,2011-03-05,WHV,1950,DUQN,7:41.0,ROLL,8:13.3,,,,,,,,,,,,,Final,Metro Cup Regatta
16,2011-03-05,MHV,2000,UCLA,6:07.8,LOMY,6:26.1,,,,,,,,,,,,,Final,UCLA vs. LMU
17,2011-03-05,WHV,2000,MILL,8:38.5,PACL,8:44.8,,,,,,,,,,,,,Final,Mills vs. PLU
18,2011-03-06,WHV,2000,UCSB,7:19.0,UCSD,7:35.9,UCIR,7:36.7,CSLB,8:09.5,,,,,,,,,Final,Opening Day Alamitos Bay
19,2011-03-06,MHV,2000,UCIR,6:17.3,UCSB,6:23.5,CSLB,7:04.6,,,,,,,,,,,Final,Opening Day Alamitos Bay
20,2011-03-06,MHN,2000,UCSB,6:34.0,CSLB,6:50.4,UCIR,6:52.6,,,,,,,,,,,Final,Opening Day Alamitos Bay
21,2011-03-06,WHJ,2000,UCSB,7:39.8,UCSD,7:48.5,,,,,,,,,,,,,Final,Opening Day Alamitos Bay
22,2011-03-06,MHJ,2000,UCSB,7:04.3,UCIR,7:07.4,,,,,,,,,,,,,Final,Opening Day Alamitos Bay
23,2011-03-06,MHN,0,STAN,6:35.7,UCDV,7:03.6,SCLA,7:22.6,,,,,,,,,,,Final,Davis Invitational
24,2011-03-06,MHV,0,STAN,6:11.4,UCDV,6:35.0,SCLA,6:39.0,,,,,,,,,,,Final,Davis Invitational
25,2011-03-06,MHJ,0,STAN,6:21.9,UCDV,6:50.8,SCLA,6:58.9,,,,,,,,,,,Final,Davis Invitational
26,2011-03-11,MHV,2000,UCSD,6:21.9,USD,6:28.3,GONZ,6:31.0,,,,,,,,,,,Final,UCSD / Gonzaga / USD Regatta
27,2011-03-11,MHJ,2000,UCSD,6:19.3,GONZ,6:22.0,,,,,,,,,,,,,Final,UCSD / Gonzaga / USD Regatta
28,2011-03-11,MHN,2000,GONZ,6:27.0,UCSD,6:27.4,,,,,,,,,,,,,Final,UCSD / Gonzaga / USD Regatta
29,2011-03-11,WHJ,0,TEMP,7:33.8,FLTC,7:38.2,,,,,,,,,,,,,Final,Keuper Cup
30,2011-03-11,MHJ,0,TEMP,6:22.0,JAX,6:29.0,,,,,,,,,,,,,Final,Keuper Cup
31,2011-03-11,WHV,0,TEMP,7:17.7,FLTC,7:33.2,,,,,,,,,,,,,Final,Keuper Cup
32,2011-03-11,MHV,0,FLTC,6:09.0,JAX,6:20.1,TEMP,6:20.7,,,,,,,,,,,Final,Keuper Cup
33,2011-03-12,WHV,1000,DRAK,6:17.0,WICH,6:23.0,,,,,,,,,,,,,Final,Charlie Thomas Memorial Row
34,2011-03-12,WHJ,1000,DRAK,6:55.2,WICH,6:58.5,,,,,,,,,,,,,Final,Charlie Thomas Memorial Row
35,2011-03-12,WHV,1000,DRAK,6:23.8,WICH,6:27.7,,,,,,,,,,,,,Final,Charlie Thomas Memorial Row
36,2011-03-12,WHV,2000,CLEM,6:43.5,UCHR,8:03.6,,,,,,,,,,,,,Final,Clemson v Univ of Charleston
37,2011-03-12,WHJ,0,OKLA,7:22.6,TULS,7:30.0,,,,,,,,,,,,,Final,Oklahoma Invitational
38,2011-03-12,WHV,0,OKLA,7:03.9,TULS,7:13.6,,,,,,,,,,,,,Final,Oklahoma Invitational
39,2011-03-12,WHJ,0,USD,7:29.4,KANS,7:38.7,,,,,,,,,,,,,Final,Oklahoma Invitational
40,2011-03-12,WHV,0,USD,7:11.9,KANS,7:16.2,,,,,,,,,,,,,Final,Oklahoma Invitational
41,2011-03-12,WHJ,0,SMU,7:42.7,CREI,7:48.5,,,,,,,,,,,,,Final,Oklahoma Invitational
42,2011-03-12,WHV,0,SMU,7:29.3,CREI,7:34.1,,,,,,,,,,,,,Final,Oklahoma Invitational
43,2011-03-12,WHJ,0,OKLA,7:32.3,TULS,7:41.0,KANS,7:43.1,,,,,,,,,,,Final,Oklahoma Invitational
44,2011-03-12,WHV,0,OKLA,7:09.4,KANS,7:23.7,,,,,,,,,,,,,Final,Oklahoma Invitational
45,2011-03-12,WHJ,0,USD,7:45.8,CREI,8:16.9,,,,,,,,,,,,,Final,Oklahoma Invitational
46,2011-03-12,WHV,0,USD,7:30.4,CREI,8:06.1,,,,,,,,,,,,,Final,Oklahoma Invitational
47,2011-03-12,WHJ,0,TULS,7:45.9,SMU,8:03.7,,,,,,,,,,,,,Final,Oklahoma Invitational
48,2011-03-12,WHV,0,TULS,7:28.9,SMU,7:50.3,,,,,,,,,,,,,Final,Oklahoma Invitational
49,2011-03-12,WHV,2000,CFLA,6:48.0,JAX,7:03.6,,,,,,,,,,,,,Final,UCF vs. Jacksonville University
50,2011-03-12,WHJ,2000,CFLA,6:56.7,JAX,7:29.5,,,,,,,,,,,,,Final,UCF vs. Jacksonville University
51,2011-03-12,WHJ,0,WLMT,6:06.5,PUGS,6:39.7,,,,,,,,,,,,,Final,Governor's Cup - Puget Sound at Willamette
52,2011-03-12,WHV,0,PUGS,9:00.4,WLMT,10:00.,,,,,,,,,,,,,Final,Governor's Cup - Puget Sound at Willamette
53,2011-03-12,MHV,0,WLMT,6:21.0,PUGS,6:37.3,,,,,,,,,,,,,Final,Governor's Cup - Puget Sound at Willamette
54,2011-03-12,WHV,2000,SACS,6:53.7,STMY,7:06.2,HUMS,7:12.9,UCSD,7:26.6,S,7,M,7,P,8,,,Final,Sacramento State Invitational
55,2011-03-12,WHJ,2000,SACS,6:57.5,STMY,7:19.5,HUMS,7:22.8,UCSD,7:49.3,,,,,,,,,Final,Sacramento State Invitational
56,2011-03-12,MHV,2000,DREX,6:10.5,STJO,6:23.0,,,,,,,,,,,,,Final,St Josephs v Delaware & Drexel
57,2011-03-12,MHJ,2000,DREX,6:26.2,STJO,6:31.1,,,,,,,,,,,,,Final,St Josephs v Delaware & Drexel
58,2011-03-12,WHV,2000,STJO,6:51.4,DREX,7:04.3,DELA,7:11.4,,,,,,,,,,,Final,St Josephs v Delaware & Drexel
59,2011-03-12,WHJ,2000,STJO,7:07.1,DELA,7:09.2,DREX,7:38.0,,,,,,,,,,,Final,St Josephs v Delaware & Drexel
60,2011-03-12,MHV,2000,UCLA,6:12.3,UCIR,6:16.5,UCSB,6:20.4,,,,,,,,,,,Final,UC Irvine vs. UCLA & UCSB
61,2011-03-12,MHJ,2000,UCSB,6:25.2,UCIR,6:28.6,,,,,,,,,,,,,Final,UC Irvine vs. UCLA & UCSB
62,2011-03-12,MHV,2000,SACS,6:17.1,SONO,6:27.5,SCLA,6:33.4,HUMS,7:04.2,C,7,P,7,,,,,Final,Sacramento State Invitational
63,2011-03-12,MHN,2000,HUMS,6:40.1,SCLA,6:50.4,,,,,,,,,,,,,Final,Sacramento State Invitational
64,2011-03-12,MHV,1950,WESL,6:00.0,ROLL,6:10.2,EMOR,6:11.6,FLA,6:28.8,E,6,,,,,,,Final,Spring Break Race
65,2011-03-12,MHJ,1950,WESL,6:15.9,ROLL,6:18.3,FLA,6:36.9,,,,,,,,,,,Final,Spring Break Race
66,2011-03-12,MHN,1950,FLA,6:13.2,WESL,6:30.7,EMOR,6:52.9,EMBR,7:22.1,,,,,,,,,Final,Spring Break Race
67,2011-03-12,WHV,1950,FLA,6:41.1,EMOR,6:45.6,WESL,6:55.4,ROLL,7:06.1,,,,,,,,,Final,Spring Break Race
68,2011-03-12,WHJ,1950,EMOR,7:11.1,WESL,7:15.3,FLA,7:16.5,,,,,,,,,,,Final,Spring Break Race
69,2011-03-13,WHJ,0,OKLA,7:32.0,CREI,8:20.5,,,,,,,,,,,,,Final,Oklahoma Invitational
70,2011-03-13,WHV,0,OKLA,7:34.7,CREI,8:08.5,,,,,,,,,,,,,Final,Oklahoma Invitational
71,2011-03-13,WHJ,0,USD,7:52.2,SMU,8:19.6,,,,,,,,,,,,,Final,Oklahoma Invitational
72,2011-03-13,WHV,0,USD,7:36.0,SMU,7:56.6,,,,,,,,,,,,,Final,Oklahoma Invitational
73,2011-03-13,WHJ,0,KANS,7:48.1,TULS,7:52.1,,,,,,,,,,,,,Final,Oklahoma Invitational
74,2011-03-13,WHV,0,TULS,7:29.8,KANS,7:52.1,,,,,,,,,,,,,Final,Oklahoma Invitational
75,2011-03-13,WHJ,0,OKLA,7:47.6,SMU,8:19.3,,,,,,,,,,,,,Final,Oklahoma Invitational
76,2011-03-13,WHV,0,OKLA,7:32.9,SMU,8:03.2,,,,,,,,,,,,,Final,Oklahoma Invitational
77,2011-03-13,WHJ,0,USD,7:42.9,TULS,7:52.8,,,,,,,,,,,,,Final,Oklahoma Invitational
78,2011-03-13,WHV,0,USD,7:21.5,TULS,7:24.5,,,,,,,,,,,,,Final,Oklahoma Invitational
79,2011-03-13,WHJ,0,KANS,8:06.5,CREI,8:29.1,,,,,,,,,,,,,Final,Oklahoma Invitational
80,2011-03-13,WHV,0,KANS,7:52.4,CREI,8:04.6,,,,,,,,,,,,,Final,Oklahoma Invitational
81,2011-03-13,WHV,2000,UCLA,6:19.8,SDSU,6:36.5,,,,,,,,,,,,,Final,UCLA vs. San Diego State University
82,2011-03-13,WHJ,2000,UCLA,6:27.7,SDSU,7:11.6,,,,,,,,,,,,,Final,UCLA vs. San Diego State University
83,2011-03-13,MHN,1300,ALAB,0:00.0,LSU,0:56.0,,,,,,,,,,,,,Final,Cane River Sprints
84,2011-03-13,MHN,1300,WASU,4:33.4,NWST,5:27.1,,,,,,,,,,,,,Final,Cane River Sprints
85,2011-03-13,MHN,1300,LSU,5:12.7,NWST,6:04.4,,,,,,,,,,,,,Final,Cane River Sprints
86,2011-03-13,MHN,1300,WASU,4:43.0,ALAB,4:49.4,,,,,,,,,,,,,Final,Cane River Sprints
87,2011-03-13,MHN,1300,WASU,0:00.0,LSU,0:20.9,,,,,,,,,,,,,Final,Cane River Sprints
88,2011-03-13,MHN,1300,ALAB,4:58.0,NWST,5:53.1,,,,,,,,,,,,,Final,Cane River Sprints
89,2011-03-13,MHV,1300,WASU,4:18.4,LSU,4:39.8,,,,,,,,,,,,,Final,Cane River Sprints
90,2011-03-13,MHV,2000,WASC,6:36.0,CLRK,7:15.0,,,,,,,,,,,,,Final,Washington College vs. Clark University
91,2011-03-13,WHV,2000,WASC,7:40.0,CLRK,8:27.0,,,,,,,,,,,,,Final,Washington College vs. Clark University
92,2011-03-13,WHJ,2000,WASC,7:46.0,CLRK,9:04.0,,,,,,,,,,,,,Final,Washington College vs. Clark University
93,2011-03-13,MHN,2000,WASC,6:56.0,CLRK,7:50.0,,,,,,,,,,,,,Final,Washington College vs. Clark University
94,2011-03-17,WHV,1400,TULS,5:18.0,DRAK,5:31.0,,,,,,,,,,,,,Scrim,Spring Break Scrimmage
95,2011-03-17,WHV,1400,TULS,5:25.0,DRAK,5:34.0,,,,,,,,,,,,,Scrim,Spring Break Scrimmage
96,2011-03-17,WHV,1400,TULS,5:21.0,DRAK,5:31.0,,,,,,,,,,,,,Scrim,Spring Break Scrimmage
97,2011-03-17,WHV,1400,TULS,5:19.0,DRAK,5:29.0,,,,,,,,,,,,,Scrim,Spring Break Scrimmage
98,2011-03-18,WHV,0,NOVS,7:28.2,JAX,7:34.4,,,,,,,,,,,,,Final,Governor's Cup Fellsmere FL
99,2011-03-18,WHV,0,BARR,7:43.1,COK,7:48.8,,,,,,,,,,,,,Final,Governor's Cup Fellsmere FL
100,2011-03-18,WHV,0,FLTC,7:53.0,PHIL,8:10.4,,,,,,,,,,,,,Final,Governor's Cup Fellsmere FL
101,2011-03-18,WHJ,0,TEX,7:30.1,LOUV,7:52.0,,,,,,,,,,,,,Final,Longhorn Invitational
102,2011-03-18,WHV,0,TEX,7:15.1,LOUV,7:23.8,,,,,,,,,,,,,Final,Longhorn Invitational
103,2011-03-18,MHV,2000,TEX,6:30.3,MINN,6:31.2,,,,,,,,,,,,,Final,Texas vs. Minnesota
104,2011-03-18,MHN,2000,MINN,6:51.9,TEX,7:12.5,,,,,,,,,,,,,Final,Texas vs. Minnesota
105,2011-03-19,WHV,2000,LECL,7:53.5,MILL,8:10.3,,,,,,,,,,,,,Final,Mills College vs. Lewis and Clark
106,2011-03-19,WHV,2000,DREX,6:37.0,VILN,6:46.4,LASL,6:53.4,,,,,,,,,,,Final,Drexel v Villanova & LaSalle
107,2011-03-19,WHJ,2000,DREX,6:44.1,VILN,6:53.0,,,,,,,,,,,,,Final,Drexel v Villanova & LaSalle
108,2011-03-19,WHV,2000,SACS,6:38.2,SDSU,6:44.8,,,,,,,,,,,,,Final,Sacramento State vs. San Diego State
109,2011-03-19,WHJ,2000,SACS,6:44.8,SDSU,7:02.0,,,,,,,,,,,,,Final,Sacramento State vs. San Diego State
110,2011-03-19,WHJ,0,TEX,7:11.0,IOWA,7:21.2,,,,,,,,,,,,,Final,Longhorn Invitational
111,2011-03-19,WHV,0,TEX,7:06.9,IOWA,7:14.7,,,,,,,,,,,,,Final,Longhorn Invitational
112,2011-03-19,WHJ,0,USD,7:19.9,CFLA,7:20.0,,,,,,,,,,,,,Final,Longhorn Invitational
113,2011-03-19,WHV,0,USD,7:08.2,CFLA,7:09.2,,,,,,,,,,,,,Final,Longhorn Invitational
114,2011-03-19,WHJ,0,WISC,7:28.3,OKLA,7:44.4,,,,,,,,,,,,,Final,Longhorn Invitational
115,2011-03-19,WHV,0,WISC,7:20.0,OKLA,7:24.9,,,,,,,,,,,,,Final,Longhorn Invitational
116,2011-03-19,WHJ,0,LOUV,7:45.7,KAST,8:02.5,,,,,,,,,,,,,Final,Longhorn Invitational
117,2011-03-19,WHV,0,LOUV,7:42.6,KAST,7:51.9,,,,,,,,,,,,,Final,Longhorn Invitational
118,2011-03-19,WHJ,0,WISC,7:22.6,TEX,7:22.8,,,,,,,,,,,,,Final,Longhorn Invitational
119,2011-03-19,WHV,0,TEX,7:09.7,WISC,7:12.9,,,,,,,,,,,,,Final,Longhorn Invitational
120,2011-03-19,WHJ,0,OKLA,7:48.8,LOUV,8:03.2,,,,,,,,,,,,,Final,Longhorn Invitational
121,2011-03-19,WHV,0,OKLA,7:16.5,LOUV,7:18.3,,,,,,,,,,,,,Final,Longhorn Invitational
122,2011-03-19,WHJ,0,CFLA,7:46.9,KAST,7:56.9,,,,,,,,,,,,,Final,Longhorn Invitational
123,2011-03-19,WHV,0,CFLA,7:38.0,KAST,7:46.8,,,,,,,,,,,,,Final,Longhorn Invitational
124,2011-03-19,WHJ,0,IOWA,7:50.5,USD,8:00.4,,,,,,,,,,,,,Final,Longhorn Invitational
125,2011-03-19,WHV,0,IOWA,7:33.2,USD,7:40.5,,,,,,,,,,,,,Final,Longhorn Invitational
126,2011-03-19,WHV,2000,CLEM,6:39.9,INDI,6:45.2,ALAB,6:52.0,BU,6:52.7,S,6,P,7,M,7,,,Final,Clemson/Indiana/Alabama/Syra/BU/Purdue/Marist
127,2011-03-19,WHJ,2000,CLEM,6:44.5,INDI,6:52.3,ALAB,6:57.0,SYRA,7:00.9,B,7,P,7,M,7,,,Final,Clemson/Indiana/Alabama/Syra/BU/Purdue/Marist
128,2011-03-19,WHV,2000,PENN,6:48.5,GEOR,7:02.5,,,,,,,,,,,,,Final,University of Pennsylvania vs. Georgetown
129,2011-03-19,WHJ,2000,PENN,6:51.0,GEOR,7:02.3,,,,,,,,,,,,,Final,University of Pennsylvania vs. Georgetown
130,2011-03-19,WHV,2000,PENN,7:05.1,DUKE,7:13.3,,,,,,,,,,,,,Final,University of Pennsylvania vs. Duke
131,2011-03-19,WHJ,2000,PENN,7:09.0,DUKE,7:24.2,,,,,,,,,,,,,Final,University of Pennsylvania vs. Duke
132,2011-03-19,WHV,2000,ND,6:10.9,BUFF,6:18.0,,,,,,,,,,,,,Final,Notre Dame vs Buffalo
133,2011-03-19,WHJ,2000,ND,6:17.6,BUFF,6:19.8,,,,,,,,,,,,,Final,Notre Dame vs Buffalo
134,2011-03-19,WHV,2000,TENN,6:09.5,MINN,6:12.1,,,,,,,,,,,,,Final,Tennessee vs. Minnesota
135,2011-03-19,WHJ,2000,MINN,6:15.1,TENN,6:17.4,,,,,,,,,,,,,Final,Tennessee vs. Minnesota
136,2011-03-19,WHV,2000,DUKE,6:47.0,STJO,7:00.4,,,,,,,,,,,,,Final,St. Joseph's vs. Duke
137,2011-03-19,WHJ,2000,DUKE,7:11.1,STJO,7:21.5,,,,,,,,,,,,,Final,St. Joseph's vs. Duke
