RaceID,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2019-02-23,MHV,2000,UGA,06:25.8,CFLA,06:28.1,FLA,06:29.1,FLST,06:59.2,,,,,,,,,Final,Dual In The Swamp
2,2019-02-23,WHV,2000,FLA,07:03.9,UGA,07:18.6,FLST,07:47.0,,,,,,,,,,,Final,Duel In The Swamp
3,2019-03-02,MHV,,CLEM,06:44.7,HIPT,07:20.3,,,,,,,,,,,,,Final,Clemson Crew Scrimmage
4,2019-03-02,MHV,1000,TEX,03:09.7,LSU,03:36.0,TXAG,03:48.6,,,,,,,,,,,Final,Heart of Texas
5,2019-03-02,MHV,1000,TEX,03:17.9,LSU,03:26.4,BAYL,03:27.5,TXAG,03:33.2,RICE,03:37.2,,,,,,,Heat,Heart of Texas
6,2019-03-02,MHV,2000,CAL#,07:13.0,UCSD,07:17.5,UCIR,07:18.4,UCLA,07:27.0,UCSB,07:29.0,UCDV,07:44.0,,,,,Final,SoCal Opening Day
7,2019-03-02,WHV,1000,TEX,03:20.2,BAYL,03:55.1,,,,,,,,,,,,,Final,Heart of Texas
8,2019-03-02,WHV,1000,BAYL,03:55.8,TXAM,03:59.9,,,,,,,,,,,,,Heat,Heart of Texas
9,2019-03-02,WHV,1000,LSU,04:07.4,RICE,04:25.2,,,,,,,,,,,,,Heat,Heart of Texas
10,2019-03-02,WHV,1950,CFLA,06:39.2,ROLL,07:47.2,,,,,,,,,,,,,Final,Rollins Invitational
11,2019-03-02,WHV,2000,UCSB,08:49.0,UCIR,09:14.0,,,,,,,,,,,,,Final,SoCal Opening Day
12,2019-03-03,MHV,2000,CAL,05:43.6,CORN,05:59.1,,,,,,,,,,,,,Final,Lake Las Vegas Invitational
13,2019-03-03,MHV,2000,CAL,05:49.6,ORST,06:02.6,MRST,06:12.7,,,,,,,,,,,Final,Lake Las Vegas Invitational
14,2019-03-03,MHV,2000,CORN,05:46.3,ORST,05:49.2,MRST,06:02.7,,,,,,,,,,,Final,Lake Las Vegas Invitational
15,2019-03-03,MHV,2000,UCDV,06:07.4,OC,06:11.2,,,,,,,,,,,,,Final,Orange Coast/UC-Davis
16,2019-03-03,MHV,2000,WASH,05:36.6,CORN,05:49.9,,,,,,,,,,,,,Final,Lake Las Vegas Invitational
17,2019-03-03,MHV,2000,WASH,05:42.9,ORST,06:01.5,MRST,06:10.8,,,,,,,,,,,Final,Lake Las Vegas Invitational
18,2019-03-03,WHV,2000,SCLA,07:11.4,MILL,07:44.5,,,,,,,,,,,,,Final,Santa Clara/Mills
19,2019-03-03,WHV,2000,WASH,06:25.2,USC,06:31.5,,,,,,,,,,,,,Final,Lake Las Vegas Invitational
20,2019-03-08,WHV,2000,STET,07:23.7,SACH,07:55.4,,,,,,,,,,,,,Final,* Stetson University Vs. Sacred Heart Univ
21,2019-03-09,MHV,1500,VAND,05:10.1,TULN,05:12.9,,,,,,,,,,,,,Final,Tulane/Northwestern State
22,2019-03-09,MHV,2000,JAX,06:04.6,EMBR,06:05.6,GV,06:20.7,,,,,,,,,,,Final,* Jacksonville University vs. Embry Riddle
23,2019-03-09,MHV,2000,SEAT,07:02.2,PUGS,07:30.0,,,,,,,,,,,,,Final,Pacific Lutheran Invitational
24,2019-03-09,MHV,2000,UCDV,06:35.0,SONO,07:35.2,,,,,,,,,,,,,Final,Davis Invitational
25,2019-03-09,MHV,2000,WWAS,06:46.1,PUGS,06:53.2,,,,,,,,,,,,,Final,Pacific Lutheran Invitational
26,2019-03-09,MHV,2000,WWAS,06:52.7,PACL,07:12.9,,,,,,,,,,,,,Final,Pacific Lutheran Invitational
27,2019-03-09,MHV,2000,WWAS,06:55.5,SEAT,08:11.5,,,,,,,,,,,,,Final,Pacific Lutheran Invitational
28,2019-03-09,WHV,1500,VAND,06:22.4,TULN,06:34.2,,,,,,,,,,,,,Final,Tulane/Northwestern State
29,2019-03-09,WHV,1950,CLRK,07:02.8,ROLL,07:02.9,ASSP,07:23.7,,,,,,,,,,,Final,Rollins Invitational
30,2019-03-09,WHV,1950,STET,06:46.0,VILN,06:46.8,DUQN,06:59.4,,,,,,,,,,,Final,Rollins Invitational
31,2019-03-09,WHV,2000,DUKE,06:49.0,CLEM,06:56.8,UNC,06:57.3,,,,,,,,,,,Final,Carolinas Cup
