,Unnamed: 0,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs,race,idlag1,idlag2,idlag3,idlag4,idlag5,date_lag_1,racetype_lag_1,time_in_secs_lag_1,teams_lag_1,racename_lag_1,date_lag_2,racetype_lag_2,time_in_secs_lag_2,teams_lag_2,racename_lag_2,date_lag_3,racetype_lag_3,time_in_secs_lag_3,teams_lag_3,racename_lag_3,date_lag_4,racetype_lag_4,time_in_secs_lag_4,teams_lag_4,racename_lag_4,date_lag_5,racetype_lag_5,time_in_secs_lag_5,teams_lag_5,racename_lag_5,race_year,race_year_lag1,race_year_lag2,race_year_lag3,race_year_lag4,average_time,race_year_lag1.1,average_time_lag2,race_year_lag2.1,average_time_lag3,race_year_lag3.1,average_time_lag4,race_year_lag4.1,teams_in_race,days_off,race_month,average_time_lag1,mean_race_time_lag_1,median_race_time_lag_1,upto_date_lag_1,mean_race_time_lag_2,median_race_time_lag_2,upto_date_lag_2,mean_race_time_lag_3,median_race_time_lag_3,upto_date_lag_3,mean_race_time_lag_4,median_race_time_lag_4,upto_date_lag_4,mean_race_time_lag_5,median_race_time_lag_5,upto_date_lag_5
1596,1517,11586,2019-04-20,MHV,Final,RowData2019.csv,3,"['YALE', 'PENN', 'COLU']",Blackwell Cup,2000.0,COLU,06:01.8,6,1.8,361.8,11586,11484,11436,11291,11150,10973,2019-04-13,Final,341.7,"['PRIN', 'PENN', 'COLU']",Childs Cup,2019-04-13,Final,350.2,"['COLU', 'RUTG']",Collins Cup (NY-NJ),2019-04-06,Final,366.3,"['DART', 'COLU', 'MIT', 'HC']",Alumni Cup,2019-03-23,Final,349.4,"['COLU', 'FLTC']",Governor's Cup (FL),2018-05-13,Heat,359.1,"['PRIN', 'BRWN', 'DART', 'CORN', 'COLU', 'RUTG']",EARC Sprints,2019,2018,2017,2016,2015,372.1625,2018,368.0,2017,364.0125,2016,353.8272727272727,2015,3,7,4,372.1625,376.8112702078531,372.6,2019-04-13,376.8112702078531,372.6,2019-04-13,376.92794667914023,372.7,2019-04-06,377.00528561270545,372.8,2019-03-23,377.1883492702579,373.1,2018-05-13
1597,1530,11207,2019-03-30,MHV,Final,RowData2019.csv,2,"['BUCK', 'ITHA']",Cayuga Racing - Week 1,2000.0,ITHA,06:00.0,6,0.0,360.0,11207,10928,10926,10895,10891,10870,2018-05-11,Heat,361.9,"['BATE', 'TUFT', 'WILL', 'ITHA', 'ROCH']",National Invitational Rowing Championshi,2018-05-11,Final,362.9,"['TUFT', 'TRIN', 'HAML', 'RIT', 'WESL', 'ITHA']",National Invitational Rowing Championshi,2018-05-05,Heat,411.7,"['ARMY', 'ITHA', 'STLA', 'RPI']",NY State Collegiate Championships,2018-05-05,Final,405.6,"['ARMY', 'HAML', 'RIT', 'ITHA', 'STLA', 'SKID']",NY State Collegiate Championships,2018-05-04,Final,413.1,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,393.1,2018,382.47692307692313,2017,388.04444444444437,2016,382.5,2015,2,323,3,393.1,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11,377.45933750652165,373.8,2018-05-05,377.45933750652165,373.8,2018-05-05,377.3677815521306,373.7,2018-05-04
1598,1755,11305,2019-04-06,MHV,Final,RowData2019.csv,2,"['ITHA', 'RIT', 'ROCH']",Ithaca/Rochester/RIT,2000.0,RIT,06:16.4,6,16.4,376.4,11305,10931,10926,10898,10891,10870,2018-05-11,Heat,356.1,"['MRST', 'BC', 'RIT', 'WESL', 'UNH', 'SKID']",National Invitational Rowing Championshi,2018-05-11,Final,361.0,"['TUFT', 'TRIN', 'HAML', 'RIT', 'WESL', 'ITHA']",National Invitational Rowing Championshi,2018-05-05,Heat,390.1,"['RIT', 'HAML', 'SKID', 'BING']",NY State Collegiate Championships,2018-05-05,Final,401.9,"['ARMY', 'HAML', 'RIT', 'ITHA', 'STLA', 'SKID']",NY State Collegiate Championships,2018-05-04,Final,417.8,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,396.13,2018,383.75000000000006,2017,406.8,2016,436.8,2015,3,330,4,396.13,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11,377.45933750652165,373.8,2018-05-05,377.45933750652165,373.8,2018-05-05,377.3677815521306,373.7,2018-05-04
1599,1845,11593,2019-04-21,MHV,Final,RowData2019.csv,3,"['TUFT', 'WPI', 'SKID']",Baker Cup,2000.0,SKID,06:55.8,6,55.8,415.8,11593,10931,10922,10898,10891,10870,2018-05-11,Heat,400.3,"['MRST', 'BC', 'RIT', 'WESL', 'UNH', 'SKID']",National Invitational Rowing Championshi,2018-05-11,Final,400.5,"['COLB', 'ROCH', 'UNH', 'SKID']",National Invitational Rowing Championshi,2018-05-05,Heat,425.8,"['RIT', 'HAML', 'SKID', 'BING']",NY State Collegiate Championships,2018-05-05,Final,453.4,"['ARMY', 'HAML', 'RIT', 'ITHA', 'STLA', 'SKID']",NY State Collegiate Championships,2018-05-04,Final,440.2,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,416.84,2018,439.06666666666666,2017,399.725,2016,373.0,2015,3,345,4,416.84,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11,377.45933750652165,373.8,2018-05-05,377.45933750652165,373.8,2018-05-05,377.3677815521306,373.7,2018-05-04
1600,1829,11679,2019-05-03,MHV,Final,RowData2019.csv,4,"['HOBR', 'ITHA', 'RIT', 'STLA', 'UNIO', 'ROCH', 'SKID']",Liberty League Championship,2000.0,STLA,06:53.7,6,53.7,413.7,11679,11564,11559,10895,10891,10870,2019-04-20,Final,388.9,"['HAML', 'STLA', 'UNIO']",Rochester/Hamilton/St Lawrence,2019-04-20,Final,427.2,"['STLA', 'ROCH']",Rochester/Hamilton/St Lawrence,2018-05-05,Heat,424.0,"['ARMY', 'ITHA', 'STLA', 'RPI']",NY State Collegiate Championships,2018-05-05,Final,437.4,"['ARMY', 'HAML', 'RIT', 'ITHA', 'STLA', 'SKID']",NY State Collegiate Championships,2018-05-04,Final,451.1,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,420.9333333333333,2018,406.2000000000001,2017,413.6,2016,400.8666666666666,2015,7,13,5,420.9333333333333,376.74089169106145,372.4,2019-04-20,376.74089169106145,372.4,2019-04-20,377.45933750652165,373.8,2018-05-05,377.45933750652165,373.8,2018-05-05,377.3677815521306,373.7,2018-05-04
1601,1763,11575,2019-04-20,MHV,Final,RowData2019.csv,2,"['VASS', 'ROCH']",Rochester/Hamilton/St Lawrence,2000.0,ROCH,06:34.0,6,34.0,394.0,11575,11559,11305,10928,10922,10870,2019-04-20,Final,447.2,"['STLA', 'ROCH']",Rochester/Hamilton/St Lawrence,2019-04-06,Final,415.1,"['ITHA', 'RIT', 'ROCH']",Ithaca/Rochester/RIT,2018-05-11,Heat,384.1,"['BATE', 'TUFT', 'WILL', 'ITHA', 'ROCH']",National Invitational Rowing Championshi,2018-05-11,Final,375.1,"['COLB', 'ROCH', 'UNH', 'SKID']",National Invitational Rowing Championshi,2018-05-04,Final,444.3,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,426.77142857142854,2018,411.14285714285705,2017,412.6,2016,367.05,2015,2,0,4,426.77142857142854,376.74089169106145,372.4,2019-04-20,376.92794667914023,372.7,2019-04-06,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11,377.3677815521306,373.7,2018-05-04
1602,1545,11296,2019-04-06,MHV,Final,RowData2019.csv,1,"['HOBR', 'TEMP']",* Temple University v. Hobart College,2000.0,HOBR,05:47.0,5,47.0,347.0,11296,11214,11209,10930,10921,10870,2019-03-30,Final,355.6,"['HOBR', 'ITHA']",Cayuga Racing - Week 1,2019-03-30,Final,350.9,"['CORN#', 'HOBR']",Cayuga Racing - Week 1,2018-05-11,Heat,351.6,"['HOBR', 'WPI', 'HAML', 'TRIN', 'COLB']",National Invitational Rowing Championshi,2018-05-11,Final,343.7,"['BATE', 'MRST', 'HOBR', 'BC', 'WILL', 'WPI']",National Invitational Rowing Championshi,2018-05-04,Final,409.2,"['HOBR', 'ITHA', 'UNIO', 'RIT', 'SKID', 'ROCH', 'STLA']","Liberty League Championships: Hobart, RI",2019,2018,2017,2016,2015,356.9454545454545,2018,361.5533333333333,2017,380.75,2016,352.76666666666665,2015,2,7,4,356.9454545454545,377.01118732261216,372.8,2019-03-30,377.01118732261216,372.8,2019-03-30,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11,377.3677815521306,373.7,2018-05-04
1603,1193,11037,2018-06-03,MHV,Final,RowData2018.csv,5,"['CORN', 'PENN', 'NAVY', 'FLTC', 'STJO', 'GW']",IRA - Sunday,2000.0,STJO,07:15.9,7,15.9,435.9,11037,11036,11026,11025,10932,10925,2018-06-02,Heat,356.4,"['CORN', 'GW', 'STJO', 'ORST', 'BATE', 'UCSD']",IRA - Saturday,2018-06-01,Heat,343.1,"['STAN', 'NAVY', 'STJO', 'MRST']",IRA - Friday,2018-06-01,Heat,357.9,"['HARV', 'BRWN', 'PENN', 'CORN', 'STJO', 'BATE']",IRA - Friday,2018-05-11,Heat,342.4,"['STJO', 'MICH', 'DREX', 'LEHI', 'PURD', 'MARI']",Dad Vail Regatta - Friday,2018-05-11,Final,337.0,"['TEMP', 'STJO', 'COLG', 'DELA', 'UVA', 'MICH']",Dad Vail Regatta - Saturday,2018,2017,2016,2015,2014,354.8400000000001,2017,362.6,2016,247.0,2015,371.36666666666673,2014,6,1,6,354.8400000000001,376.81177184466117,372.8,2018-06-02,377.0685539215696,373.0,2018-06-01,377.0685539215696,373.0,2018-06-01,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11
1604,1428,11056,2019-03-03,MHV,Final,RowData2019.csv,3,"['WASH', 'ORST', 'MRST']",Lake Las Vegas Invitational,2000.0,MRST,06:10.8,6,10.8,370.8,11056,11035,11026,11023,10931,10921,2018-06-02,Heat,361.6,"['PENN', 'NAVY', 'FLTC', 'TEMP', 'MRST', 'USD']",IRA - Saturday,2018-06-01,Heat,348.3,"['STAN', 'NAVY', 'STJO', 'MRST']",IRA - Friday,2018-06-01,Heat,362.3,"['CAL', 'PRIN', 'DART', 'WISC', 'FLTC', 'MRST']",IRA - Friday,2018-05-11,Heat,349.1,"['MRST', 'BC', 'RIT', 'WESL', 'UNH', 'SKID']",National Invitational Rowing Championshi,2018-05-11,Final,342.3,"['BATE', 'MRST', 'HOBR', 'BC', 'WILL', 'WPI']",National Invitational Rowing Championshi,2019,2018,2017,2016,2015,362.4142857142857,2018,362.7444444444445,2017,385.85,2016,366.375,2015,3,274,3,362.4142857142857,376.81177184466117,372.8,2018-06-02,377.0685539215696,373.0,2018-06-01,377.0685539215696,373.0,2018-06-01,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11
1605,1569,11213,2019-03-30,MHV,Final,RowData2019.csv,4,"['HARV#', 'BC', 'TRIN', 'BATE']",Bates/BC,2000.0,BATE,06:13.5,6,13.5,373.5,11213,11036,11025,11024,10928,10921,2018-06-02,Heat,360.3,"['CORN', 'GW', 'STJO', 'ORST', 'BATE', 'UCSD']",IRA - Saturday,2018-06-01,Heat,364.9,"['HARV', 'BRWN', 'PENN', 'CORN', 'STJO', 'BATE']",IRA - Friday,2018-06-01,Heat,351.6,"['DART', 'GW', 'TEMP', 'BATE']",IRA - Friday,2018-05-11,Heat,351.6,"['BATE', 'TUFT', 'WILL', 'ITHA', 'ROCH']",National Invitational Rowing Championshi,2018-05-11,Final,341.4,"['BATE', 'MRST', 'HOBR', 'BC', 'WILL', 'WPI']",National Invitational Rowing Championshi,2019,2018,2017,2016,2015,368.96153846153845,2018,370.1833333333333,2017,367.85,2016,373.2,2015,4,301,3,368.96153846153845,376.81177184466117,372.8,2018-06-02,377.0685539215696,373.0,2018-06-01,377.0685539215696,373.0,2018-06-01,377.58540970973655,373.8,2018-05-11,377.58540970973655,373.8,2018-05-11
